0,0
0.53,1
0,0
0,0
0.32,0
0,0
0.87,1
0.49,0
0.86,1
0.006,0
0,0
0.034,0
1,1
0,0
1,1
0.97,1
0,0
0,0
0.58,1
0.86,1
0.246,0
0.356,0
0.992,1
0.054,0
0.708,1
0,0
0.998,1
0,0
0.034,0
0.006,0
0,0
0.006,0
0.292,0
0.292,0
0.246,0
0,0
0.87,1
0.87,1
0,0
0,0
0.356,0
0.034,0
0,0
0.958,1
1,1
0,0
0.034,0
0,0
0.992,1
0.746,1
0.246,0
0,0
0.996,1
0.924,1
0,0
0.002,0
0,0
0,0
0,0
0.992,1
0,0
0,0
0,0
0.87,1
0.666,1
0.958,1
0.87,1
0.034,0
0.034,0
0.572,1
0.87,1
0,0
0.87,1
0.034,0
0.992,1
0.034,0
0,0
0.992,1
0,0
0.87,1
0.182,0
0.246,0
0.034,0
0,0
0,0
0,0
0.87,1
0.87,1
0.486,0
0.49,0
0.53,1
0,0
0.666,1
0,0
0.034,0
0,0
1,1
0,0
0.87,1
0,0
1,1
0,0
0,0
0,0
0.32,0
0,0
0,0
0,0
0,0
0,0
0,0
0.87,1
0.992,1
0.87,1
1,1
0,0
0,0
0.744,1
0.034,0
0.97,1
0.958,1
0,0
1,1
0,0
0,0
0.676,1
0,0
0.594,1
0,0
0,0
0,0
0.034,0
0.202,0
0,0
0,0
0,0
0,0
0,0
0.87,1
0.026,0
0.048,0
0.992,1
0.658,1
0,0
0.034,0
0.06,0
0.034,0
0,0
0.034,0
0.49,0
0.998,1
0,0
0,0
0.746,1
0.102,0
0,0
0.992,1
0.87,1
0.034,0
0.746,1
0.87,1
0.182,0
0.958,1
0,0
0,0
0.32,0
0.034,0
0.172,0
0.992,1
0.87,1
0,0
0,0
0,0
0,0
0.03,0
0.996,1
0.958,1
0.246,0
0.98,1
0.884,1
0,0
0.354,0
1,1
0,0
0.998,1
0,0
0.996,1
0.006,0
0.022,0
0,0
0,0
0.034,0
0.182,0
0,0
0.542,1
0,0
0.454,0
0.87,1
0,0
0.86,1
0.87,1
0.384,0
0.246,0
1,1
0,0
0.034,0
0.87,1
0,0
0.992,1
0,0
0,0
0,0
0,0
0.97,1
0.11,0
0.034,0
0.87,1
0.354,0
0.998,1
0,0
0.976,1
0,0
0.958,1
0,0
0.992,1
0.746,1
0,0
0.87,1
0,0
0,0
0,0
0.992,1
0,0
0,0
0.246,0
0,0
0.246,0
0,0
1,1
1,1
0.992,1
0.996,1
0.354,0
0,0
0.17,0
0.246,0
0.958,1
0.49,0
0.97,1
0.53,1
0.996,1
0,0
0.246,0
0,0
0,0
0,0
0,0
0,0
0.958,1
0,0
0,0
0,0
0.996,1
0.744,1
0,0
0,0
0.034,0
0,0
0.87,1
0,0
0.034,0
0,0
1,1
0.58,1
0,0
0.976,1
0,0
0,0
0,0
0,0
0.87,1
0.182,0
0.87,1
0.744,1
0.744,1
0,0
0,0
0.246,0
0,0
0,0
0.034,0
0.87,1
0,0
0.354,0
0,0
0,0
0.996,1
0.006,0
0.034,0
0,0
0,0
0,0
0.226,0
0,0
0.87,1
0.998,1
0.724,1
0.356,0
0.354,0
0.53,1
0,0
0,0
0,0
0.87,1
0.992,1
0.87,1
0.246,0
0,0
0,0
0.006,0
0,0
0,0
0,0
0.034,0
0.992,1
0,0
0.996,1
0.034,0
0,0
0,0
0.996,1
0.034,0
0,0
0.32,0
0,0
0.034,0
0,0
0.384,0
0,0
0,0
0,0
0,0
0.026,0
0.998,1
0.182,0
0.87,1
0,0
0.86,1
0,0
0.958,1
0.998,1
0,0
0,0
0.266,0
0.242,0
0.034,0
0.992,1
0,0
0,0
0.53,1
0,0
0.98,1
0.958,1
0,0
1,1
0.174,0
0,0
0.87,1
0.998,1
0,0
0,0
0.992,1
0.034,0
0,0
0.998,1
0.992,1
0.594,1
0,0
0.034,0
0.102,0
0,0
0,0
0.86,1
0.53,1
0,0
0.996,1
0,0
0,0
0,0
0.002,0
0.034,0
0.998,1
0.384,0
0,0
0.002,0
1,1
0,0
0.998,1
0,0
0,0
0.992,1
0,0
0.998,1
0.034,0
0.246,0
0,0
0,0
0.354,0
0.87,1
0.744,1
0.87,1
1,1
0.87,1
0,0
0.852,1
0,0
0,0
0.182,0
